Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
ASP92092305,-34.247,19.05,6.06,33.55,506.25,0.19,0.45,3.49
ASP92092310,-34.24216667,19.11033333,1.57,36.73,458.79,0.16,0.45,3.73
ASP92092312,-34.22616667,19.09533333,1.57,36.73,458.79,0.16,0.45,3.73
AGR92092701,-34.23566667,19.031,6.06,33.55,506.25,0.19,0.45,3.49
APE92101703,-33.06133333,19.33116667,-1.39,35.69,564.26,0.2,0.49,3.73
AGR92102504,-34.0725,18.4055,11.12,25.9,374.41,0.22,0.34,3.64
AGR92103109,-34.03333333,19.64466667,1.57,36.73,458.79,0.16,0.45,3.73
WIJ92103103,-34.00333333,18.35666667,11.12,25.9,374.41,0.22,0.34,3.64
APE93031410,-34.4235,19.45516667,6.87,29.51,363.87,0.14,0.41,3.67
AGR93081204,-34.04866667,19.93016667,1.82,38.84,427.15,0.1,0.43,4.03
AGR93081210,-34.04033333,19.92466667,1.82,38.84,427.15,0.1,0.43,4.03
SHR93081505,-32.97116667,19.04916667,2.38,39.8,500.98,0.19,0.41,3.66
AGR93100801,-33.45133333,21.00216667,0.3,39.56,374.41,0.05,0.41,4.09
SHR93102304,-34.03733333,19.45916667,1.57,36.73,458.79,0.16,0.45,3.73
JAM93092512,-33.54483333,19.12333333,0.23,36.51,527.34,0.21,0.47,3.48
SHR94052201,-34.1575,18.34583333,11.12,25.9,374.41,0.22,0.34,3.64
AGR94071009,-33.90583333,19.15716667,1.57,36.73,458.79,0.16,0.45,3.73
AGR93102004,-34.03883333,19.922,1.82,38.84,427.15,0.1,0.43,4.03
APE94082307,-33.72166667,24.23233333,0.54,42.04,453.52,0.14,0.44,3.92
APE94082311,-33.72883333,24.26666667,0.54,42.04,453.52,0.14,0.44,3.92
APE94082312,-33.728,24.2695,0.54,42.04,453.52,0.14,0.44,3.92
APE94082333,-33.52166667,24.08816667,0.54,42.04,453.52,0.14,0.44,3.92
