OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
OUT96011306,PRMUND,33.88466667,-33.88466667,22.6,30.83,7.26,348.05,0.08,0.43,2.07
OUT96011307,PRMUND,33.89366667,-33.89366667,22.6075,30.83,7.26,348.05,0.08,0.43,2.07
OUT96011308,PRMUND,33.89583333,-33.89583333,22.61133333,30.83,7.26,348.05,0.08,0.43,2.07
OUT96011310,PRMUND,33.91,-33.91,22.63016667,30.83,7.26,348.05,0.08,0.43,2.07
OUT95122601,PRMUND,33.96833333,-33.96833333,23.54733333,29.69,8.42,390.23,0.17,0.44,2.8
OUT95122603,PRMUND,33.96033333,-33.96033333,23.54366667,29.69,8.42,390.23,0.17,0.44,2.8
DEL96030601,PRMUND,33.607,-33.607,25.10583333,42.57,2.58,511.52,0.16,0.41,3.06
DEL96030701,PRMUND,33.60333333,-33.60333333,25.07916667,42.57,2.58,511.52,0.16,0.41,3.06
DEL96030702,PRMUND,33.6,-33.6,25.062,42.57,2.58,511.52,0.16,0.41,3.06
AWA96032503,PRMUND,33.76333333,-33.76333333,23.142,31.46,6.64,369.14,0.1,0.43,1.43
AWA96032504,PRMUND,33.76116667,-33.76116667,23.143,31.46,6.64,369.14,0.1,0.43,1.43
AWA96032505,PRMUND,33.761,-33.761,23.15116667,31.46,6.64,369.14,0.1,0.43,1.43
DEL96031908,PRMUND,33.68916667,-33.68916667,25.09083333,42.57,2.58,511.52,0.16,0.41,3.06
DEL96032004,PRMUND,33.65966667,-33.65966667,25.165,42.57,2.58,511.52,0.16,0.41,3.06
MCG96032401,PRMUND,33.89916667,-33.89916667,25.257,34.44,8.8,421.88,0.15,0.43,2.87
MCG96032402,PRMUND,33.89466667,-33.89466667,25.257,34.44,8.8,421.88,0.15,0.43,2.87
MCG96032601,PRMUND,33.8915,-33.8915,25.251,34.44,8.8,421.88,0.15,0.43,2.87
MCG96032603,PRMUND,33.88866667,-33.88866667,25.24416667,34.44,8.8,421.88,0.15,0.43,2.87
MCG96032604,PRMUND,33.888,-33.888,25.23716667,34.44,8.8,421.88,0.15,0.43,2.87
MCG96032605,PRMUND,33.88733333,-33.88733333,25.232,34.44,8.8,421.88,0.15,0.43,2.87
OUT96030901,PRMUND,33.8545,-33.8545,22.67066667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030902,PRMUND,33.84583333,-33.84583333,22.66666667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030903,PRMUND,33.83983333,-33.83983333,22.66416667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030905,PRMUND,33.8385,-33.8385,22.64166667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030906,PRMUND,33.83783333,-33.83783333,22.63516667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030908,PRMUND,33.83783333,-33.83783333,22.62666667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030909,PRMUND,33.83883333,-33.83883333,22.62566667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030910,PRMUND,33.83416667,-33.83416667,22.62066667,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030911,PRMUND,33.85,-33.85,22.63333333,30.83,7.26,348.05,0.08,0.43,2.07
OUT96030912,PRMUND,33.86533333,-33.86533333,22.6345,30.83,7.26,348.05,0.08,0.43,2.07
AGR96032911,PRMUND,34.39766667,-34.39766667,19.17366667,29.51,6.87,363.87,0.14,0.41,3.67
AGR96032913,PRMUND,34.39866667,-34.39866667,19.17916667,29.51,6.87,363.87,0.14,0.41,3.67
NGF96041301,PRMUND,34.0745,-34.0745,18.399,25.9,11.12,374.41,0.22,0.34,3.64
DEL96032703,PRMUND,33.65833333,-33.65833333,25.25416667,42.57,2.58,511.52,0.16,0.41,3.06
DEL96032705,PRMUND,33.6575,-33.6575,25.25833333,42.57,2.58,511.52,0.16,0.41,3.06
DEL96032715,PRMUND,33.6375,-33.6375,25.27,42.57,2.58,511.52,0.16,0.41,3.06
DEL96032717,PRMUND,33.6375,-33.6375,25.26433333,42.57,2.58,511.52,0.16,0.41,3.06
PRG96031602,PRMUND,33.7285,-33.7285,25.18133333,42.57,2.58,511.52,0.16,0.41,3.06
DEL96041709,PRMUND,33.63583333,-33.63583333,25.27416667,42.57,2.58,511.52,0.16,0.41,3.06
DEL96041711,PRMUND,33.63333333,-33.63333333,25.27083333,42.57,2.58,511.52,0.16,0.41,3.06
DEL96041713,PRMUND,33.63416667,-33.63416667,25.25916667,42.57,2.58,511.52,0.16,0.41,3.06
DEL96041719,PRMUND,33.66666667,-33.66666667,25.25066667,42.57,2.58,511.52,0.16,0.41,3.06
MCG96041001,PRMUND,33.98733333,-33.98733333,24.15316667,35.12,6.64,427.15,0.16,0.44,2.84
MCG96042101,PRMUND,33.88916667,-33.88916667,25.26783333,34.44,8.8,421.88,0.15,0.43,2.87
NSC96031301,PRMUND,33.9675,-33.9675,23.8795,29.69,8.42,390.23,0.17,0.44,2.8
NSC96031302,PRMUND,33.96583333,-33.96583333,23.87033333,29.69,8.42,390.23,0.17,0.44,2.8
NSC96031407,PRMUND,33.97383333,-33.97383333,23.89166667,29.69,8.42,390.23,0.17,0.44,2.8
NSC96031412,PRMUND,33.996,-33.996,24.13116667,35.12,6.64,427.15,0.16,0.44,2.84
NSC96031414,PRMUND,34.00083333,-34.00083333,24.18116667,35.12,6.64,427.15,0.16,0.44,2.84
NSC96031415,PRMUND,34.003,-34.003,24.19,35.12,6.64,427.15,0.16,0.44,2.84
NSC96031416,PRMUND,34.003,-34.003,24.20216667,35.12,6.64,427.15,0.16,0.44,2.84
DFJ96050501,PRMUND,33.84833333,-33.84833333,23.67666667,29.69,8.42,390.23,0.17,0.44,2.8
FEA96050401,PRMUND,34.3125,-34.3125,18.99166667,24.48,10.17,474.61,0.22,0.42,3.61
HRK96041104,PRMUND,33.90183333,-33.90183333,23.4005,31.46,6.64,369.14,0.1,0.43,1.43
HRK96042201,PRMUND,33.94633333,-33.94633333,23.6205,29.69,8.42,390.23,0.17,0.44,2.8
HRK96042204,PRMUND,33.96533333,-33.96533333,23.93116667,29.69,8.42,390.23,0.17,0.44,2.8
HRK96042307,PRMUND,33.96716667,-33.96716667,23.88016667,29.69,8.42,390.23,0.17,0.44,2.8
HRK96042308,PRMUND,33.969,-33.969,23.8865,29.69,8.42,390.23,0.17,0.44,2.8
HRK96042309,PRMUND,33.96816667,-33.96816667,23.88916667,29.69,8.42,390.23,0.17,0.44,2.8
OBK96040705,PRMUND,33.85983333,-33.85983333,22.829,31.46,6.64,369.14,0.1,0.43,1.43
OBK96040801,PRMUND,33.88733333,-33.88733333,22.98016667,31.46,6.64,369.14,0.1,0.43,1.43
OBK96040802,PRMUND,33.88066667,-33.88066667,22.98766667,31.46,6.64,369.14,0.1,0.43,1.43
AGR96051901,PRMUND,34.07433333,-34.07433333,18.397,25.9,11.12,374.41,0.22,0.34,3.64
AJT96050201,PRMUND,33.9315,-33.9315,23.15866667,31.46,6.64,369.14,0.1,0.43,1.43
AJT96050202,PRMUND,33.92516667,-33.92516667,23.15816667,31.46,6.64,369.14,0.1,0.43,1.43
AJT96050204,PRMUND,33.89566667,-33.89566667,23.156,31.46,6.64,369.14,0.1,0.43,1.43
AJT96050205,PRMUND,33.77433333,-33.77433333,23.14516667,31.46,6.64,369.14,0.1,0.43,1.43
AJT96050206,PRMUND,33.76666667,-33.76666667,23.13983333,31.46,6.64,369.14,0.1,0.43,1.43
AJT96050302,PRMUND,33.66033333,-33.66033333,24.79366667,42.57,2.58,511.52,0.16,0.41,3.06
